time,ip,prediction,action
2026-08-02 16:24:32.420379,192.168.1.42,ANOMALY,BLOCKED
2026-08-02 16:24:32.582856,192.168.1.180,ANOMALY,BLOCKED
2026-08-02 16:24:32.671273,192.168.1.172,ANOMALY,BLOCKED
2026-08-02 16:24:32.790405,192.168.1.184,ANOMALY,BLOCKED
2026-08-02 16:24:32.989304,192.168.1.94,ANOMALY,BLOCKED
2026-08-02 16:24:33.172295,192.168.1.34,NORMAL,ALLOWED
2026-08-02 16:24:33.347003,192.168.1.207,ANOMALY,BLOCKED
2026-08-02 16:24:33.509494,192.168.1.22,ANOMALY,BLOCKED
2026-08-02 16:24:33.613833,192.168.1.177,NORMAL,ALLOWED
2026-08-02 16:24:33.688830,192.168.1.222,NORMAL,ALLOWED
2026-08-02 16:24:33.764589,192.168.1.42,ANOMALY,BLOCKED
2026-08-02 16:24:33.838759,192.168.1.28,ANOMALY,BLOCKED
2026-08-02 16:24:34.044792,192.168.1.156,ANOMALY,BLOCKED
2026-08-02 16:24:34.261882,192.168.1.168,ANOMALY,BLOCKED
2026-08-02 16:24:34.470711,192.168.1.206,ANOMALY,BLOCKED
2026-08-02 16:24:34.611003,192.168.1.209,ANOMALY,BLOCKED
2026-08-02 16:24:34.697374,192.168.1.243,ANOMALY,BLOCKED
2026-08-02 16:24:34.813722,192.168.1.247,ANOMALY,BLOCKED
2026-08-02 16:24:35.022964,192.168.1.118,ANOMALY,BLOCKED
2026-08-02 16:24:35.192573,192.168.1.65,ANOMALY,BLOCKED
2026-08-02 16:25:14.100972,192.168.1.143,ANOMALY,BLOCKED
2026-08-02 16:25:14.179643,192.168.1.90,ANOMALY,BLOCKED
2026-08-02 16:25:14.275798,192.168.1.57,ANOMALY,BLOCKED
2026-08-02 16:25:14.431394,192.168.1.197,ANOMALY,BLOCKED
2026-08-02 16:25:14.617955,192.168.1.248,ANOMALY,BLOCKED
2026-08-02 16:25:14.707396,192.168.1.14,ANOMALY,BLOCKED
2026-08-02 16:25:14.825465,192.168.1.17,ANOMALY,BLOCKED
2026-08-02 16:25:14.915878,192.168.1.31,ANOMALY,BLOCKED
2026-08-02 16:25:15.010209,192.168.1.121,ANOMALY,BLOCKED
2026-08-02 16:25:15.095440,192.168.1.250,ANOMALY,BLOCKED
2026-08-02 16:25:15.185587,192.168.1.181,ANOMALY,BLOCKED
2026-08-02 16:25:15.281659,192.168.1.228,ANOMALY,BLOCKED
2026-08-02 16:25:15.374957,192.168.1.128,ANOMALY,BLOCKED
2026-08-02 16:25:15.462523,192.168.1.181,ANOMALY,BLOCKED
2026-08-02 16:25:15.549059,192.168.1.83,ANOMALY,BLOCKED
2026-08-02 16:25:15.631789,192.168.1.75,ANOMALY,BLOCKED
2026-08-02 16:25:15.750255,192.168.1.22,ANOMALY,BLOCKED
2026-08-02 16:25:15.848435,192.168.1.143,ANOMALY,BLOCKED
2026-08-02 16:25:15.935461,192.168.1.164,ANOMALY,BLOCKED
2026-08-02 16:25:16.011387,192.168.1.14,ANOMALY,BLOCKED
2026-08-02 16:25:16.092445,192.168.1.32,ANOMALY,BLOCKED
2026-08-02 16:25:16.184053,192.168.1.141,ANOMALY,BLOCKED
2026-08-02 16:25:16.292982,192.168.1.87,ANOMALY,BLOCKED
2026-08-02 16:25:16.372289,192.168.1.195,ANOMALY,BLOCKED
2026-08-02 16:25:16.449919,192.168.1.151,NORMAL,ALLOWED
2026-08-02 16:25:16.525532,192.168.1.22,ANOMALY,BLOCKED
2026-08-02 16:25:16.603597,192.168.1.168,ANOMALY,BLOCKED
2026-08-02 16:25:16.677072,192.168.1.227,ANOMALY,BLOCKED
2026-08-02 16:25:16.748874,192.168.1.51,ANOMALY,BLOCKED
2026-08-02 16:25:16.860148,192.168.1.236,ANOMALY,BLOCKED
2026-08-02 16:25:16.954260,192.168.1.253,ANOMALY,BLOCKED
2026-08-02 16:25:17.048351,192.168.1.96,NORMAL,ALLOWED
2026-08-02 16:25:17.136893,192.168.1.190,ANOMALY,BLOCKED
2026-08-02 16:25:17.228293,192.168.1.234,ANOMALY,BLOCKED
2026-08-02 16:25:17.314982,192.168.1.91,ANOMALY,BLOCKED
2026-08-02 16:25:17.397360,192.168.1.134,ANOMALY,BLOCKED
2026-08-02 16:25:17.471186,192.168.1.198,ANOMALY,BLOCKED
2026-08-02 16:25:17.557842,192.168.1.210,ANOMALY,BLOCKED
2026-08-02 16:25:17.652453,192.168.1.23,ANOMALY,BLOCKED
2026-08-02 16:25:17.730869,192.168.1.153,ANOMALY,BLOCKED
2026-08-02 16:25:17.814100,192.168.1.79,ANOMALY,BLOCKED
2026-08-02 16:25:17.911748,192.168.1.212,ANOMALY,BLOCKED
2026-08-02 16:25:18.005577,192.168.1.26,ANOMALY,BLOCKED
2026-08-02 16:25:18.090786,192.168.1.77,NORMAL,ALLOWED
2026-08-02 16:25:18.170595,192.168.1.51,ANOMALY,BLOCKED
2026-08-02 16:25:18.251579,192.168.1.135,NORMAL,ALLOWED
2026-08-02 16:25:18.324675,192.168.1.248,ANOMALY,BLOCKED
2026-08-02 16:25:18.403787,192.168.1.245,ANOMALY,BLOCKED
2026-08-02 16:25:18.475273,192.168.1.64,ANOMALY,BLOCKED
2026-08-02 16:25:18.539338,192.168.1.79,ANOMALY,BLOCKED
2026-08-02 16:25:18.624866,192.168.1.194,ANOMALY,BLOCKED
2026-08-02 16:25:18.704695,192.168.1.25,ANOMALY,BLOCKED
2026-08-02 16:25:18.789412,192.168.1.204,ANOMALY,BLOCKED
2026-08-02 16:25:18.876224,192.168.1.75,ANOMALY,BLOCKED
2026-08-02 16:25:18.958307,192.168.1.23,ANOMALY,BLOCKED
2026-08-02 16:25:19.041594,192.168.1.189,ANOMALY,BLOCKED
2026-08-02 16:25:19.128389,192.168.1.110,NORMAL,ALLOWED
2026-08-02 16:25:19.216744,192.168.1.142,ANOMALY,BLOCKED
2026-08-02 16:25:19.292295,192.168.1.246,ANOMALY,BLOCKED
2026-08-02 16:25:19.367999,192.168.1.250,ANOMALY,BLOCKED
2026-08-02 16:25:19.486008,192.168.1.217,ANOMALY,BLOCKED
2026-08-02 16:25:19.693271,192.168.1.136,ANOMALY,BLOCKED
2026-08-02 16:25:19.877100,192.168.1.126,ANOMALY,BLOCKED
2026-08-02 16:25:20.002828,192.168.1.131,ANOMALY,BLOCKED
2026-08-02 16:25:20.090210,192.168.1.108,ANOMALY,BLOCKED
2026-08-02 16:25:20.173316,192.168.1.97,ANOMALY,BLOCKED
2026-08-02 16:25:20.254658,192.168.1.209,ANOMALY,BLOCKED
2026-08-02 16:25:20.369372,192.168.1.199,ANOMALY,BLOCKED
2026-08-02 16:25:20.470882,192.168.1.7,ANOMALY,BLOCKED
2026-08-02 16:25:20.648854,192.168.1.135,ANOMALY,BLOCKED
2026-08-02 16:25:20.748146,192.168.1.84,ANOMALY,BLOCKED
2026-08-02 16:25:20.833320,192.168.1.25,ANOMALY,BLOCKED
2026-08-02 16:25:20.914754,192.168.1.1,ANOMALY,BLOCKED
2026-08-02 16:25:21.008922,192.168.1.48,ANOMALY,BLOCKED
2026-08-02 16:25:21.087964,192.168.1.124,ANOMALY,BLOCKED
2026-08-02 16:25:21.168598,192.168.1.12,ANOMALY,BLOCKED
2026-08-02 16:25:21.247800,192.168.1.90,ANOMALY,BLOCKED
2026-08-02 16:25:21.323524,192.168.1.68,ANOMALY,BLOCKED
2026-08-02 16:25:21.489630,192.168.1.165,ANOMALY,BLOCKED
2026-08-02 16:25:21.668935,192.168.1.28,ANOMALY,BLOCKED
2026-08-02 16:25:21.857844,192.168.1.251,ANOMALY,BLOCKED
2026-08-02 16:25:21.995441,192.168.1.61,ANOMALY,BLOCKED
2026-08-02 16:25:22.079945,192.168.1.126,ANOMALY,BLOCKED
2026-08-02 16:25:22.170004,192.168.1.22,ANOMALY,BLOCKED
2026-08-02 16:25:22.250790,192.168.1.80,ANOMALY,BLOCKED
2026-08-02 16:25:22.338146,192.168.1.38,ANOMALY,BLOCKED
2026-08-02 16:25:22.421918,192.168.1.94,ANOMALY,BLOCKED
2026-08-02 16:25:22.510249,192.168.1.154,ANOMALY,BLOCKED
2026-08-02 16:25:22.597538,192.168.1.20,ANOMALY,BLOCKED
2026-08-02 16:25:22.696620,192.168.1.193,ANOMALY,BLOCKED
2026-08-02 16:25:22.921001,192.168.1.141,ANOMALY,BLOCKED
2026-08-02 16:25:23.023270,192.168.1.180,ANOMALY,BLOCKED
2026-08-02 16:25:23.106225,192.168.1.148,ANOMALY,BLOCKED
2026-08-02 16:25:23.208116,192.168.1.95,ANOMALY,BLOCKED
2026-08-02 16:25:23.304628,192.168.1.197,ANOMALY,BLOCKED
2026-08-02 16:25:23.403344,192.168.1.231,NORMAL,ALLOWED
2026-08-02 16:25:23.487312,192.168.1.179,ANOMALY,BLOCKED
2026-08-02 16:25:23.565942,192.168.1.77,ANOMALY,BLOCKED
2026-08-02 16:25:23.652806,192.168.1.241,ANOMALY,BLOCKED
2026-08-02 16:25:23.737612,192.168.1.69,ANOMALY,BLOCKED
2026-08-02 16:25:23.821241,192.168.1.15,ANOMALY,BLOCKED
2026-08-02 16:25:23.904000,192.168.1.98,ANOMALY,BLOCKED
2026-08-02 16:25:24.002559,192.168.1.24,NORMAL,ALLOWED
2026-08-02 16:25:24.090790,192.168.1.73,ANOMALY,BLOCKED
2026-08-02 16:25:24.175586,192.168.1.26,ANOMALY,BLOCKED
2026-08-02 16:25:24.258860,192.168.1.134,ANOMALY,BLOCKED
2026-08-02 16:25:24.343284,192.168.1.157,ANOMALY,BLOCKED
2026-08-02 16:25:24.457466,192.168.1.18,ANOMALY,BLOCKED
2026-08-02 16:25:24.548629,192.168.1.55,NORMAL,ALLOWED
2026-08-02 16:25:24.663840,192.168.1.65,ANOMALY,BLOCKED
2026-08-02 16:25:24.751824,192.168.1.133,ANOMALY,BLOCKED
2026-08-02 16:25:24.913916,192.168.1.182,ANOMALY,BLOCKED
2026-08-02 16:25:25.116158,192.168.1.59,ANOMALY,BLOCKED
2026-08-02 16:25:25.295757,192.168.1.65,ANOMALY,BLOCKED
2026-08-02 16:25:25.469514,192.168.1.3,NORMAL,ALLOWED
2026-08-02 16:25:25.658550,192.168.1.58,ANOMALY,BLOCKED
2026-08-02 16:25:25.867674,192.168.1.67,ANOMALY,BLOCKED
2026-08-02 16:25:26.072828,192.168.1.145,ANOMALY,BLOCKED
2026-08-02 16:25:26.259097,192.168.1.238,ANOMALY,BLOCKED
2026-08-02 16:25:26.403174,192.168.1.3,ANOMALY,BLOCKED
2026-08-02 16:25:26.492524,192.168.1.35,ANOMALY,BLOCKED
2026-08-02 16:25:26.594549,192.168.1.196,ANOMALY,BLOCKED
2026-08-02 16:25:26.788664,192.168.1.173,ANOMALY,BLOCKED
2026-08-02 16:25:26.875710,192.168.1.198,ANOMALY,BLOCKED
2026-08-02 16:25:26.962319,192.168.1.150,ANOMALY,BLOCKED
2026-08-02 16:25:27.090480,192.168.1.163,ANOMALY,BLOCKED
2026-08-02 16:25:27.206618,192.168.1.67,ANOMALY,BLOCKED
2026-08-02 16:25:27.392421,192.168.1.209,ANOMALY,BLOCKED
2026-08-02 16:25:27.462138,192.168.1.223,ANOMALY,BLOCKED
2026-08-02 16:25:27.696751,192.168.1.9,ANOMALY,BLOCKED
2026-08-02 16:25:27.855601,192.168.1.117,ANOMALY,BLOCKED
2026-08-02 16:25:27.947813,192.168.1.106,ANOMALY,BLOCKED
2026-08-02 16:25:28.037812,192.168.1.212,ANOMALY,BLOCKED
2026-08-02 16:25:28.116271,192.168.1.206,ANOMALY,BLOCKED
2026-08-02 16:25:28.192527,192.168.1.46,ANOMALY,BLOCKED
2026-08-02 16:25:28.271751,192.168.1.245,NORMAL,ALLOWED
2026-08-02 16:25:28.361015,192.168.1.227,ANOMALY,BLOCKED
2026-08-02 16:25:28.557139,192.168.1.249,ANOMALY,BLOCKED
2026-08-02 16:25:28.653264,192.168.1.234,ANOMALY,BLOCKED
2026-08-02 16:25:28.737492,192.168.1.169,ANOMALY,BLOCKED
2026-08-02 16:25:28.837231,192.168.1.15,ANOMALY,BLOCKED
2026-08-02 16:25:28.929789,192.168.1.187,ANOMALY,BLOCKED
2026-08-02 16:25:29.073119,192.168.1.85,ANOMALY,BLOCKED
2026-08-02 16:25:29.170995,192.168.1.228,ANOMALY,BLOCKED
2026-08-02 16:25:29.363174,192.168.1.18,ANOMALY,BLOCKED
2026-08-02 16:25:29.517779,192.168.1.114,ANOMALY,BLOCKED
2026-08-02 16:25:29.599160,192.168.1.43,ANOMALY,BLOCKED
2026-08-02 16:25:29.673263,192.168.1.78,ANOMALY,BLOCKED
2026-08-02 16:25:29.750044,192.168.1.251,ANOMALY,BLOCKED
2026-08-02 16:25:29.923216,192.168.1.22,ANOMALY,BLOCKED
2026-08-02 16:25:30.010939,192.168.1.124,ANOMALY,BLOCKED
2026-08-02 16:25:30.123663,192.168.1.133,NORMAL,ALLOWED
2026-08-02 16:25:30.332276,192.168.1.164,ANOMALY,BLOCKED
2026-08-02 16:25:30.538513,192.168.1.155,ANOMALY,BLOCKED
2026-08-02 16:25:30.671288,192.168.1.49,ANOMALY,BLOCKED
2026-08-02 16:25:30.755520,192.168.1.64,ANOMALY,BLOCKED
2026-08-02 16:25:30.837410,192.168.1.41,ANOMALY,BLOCKED
2026-08-02 16:25:30.918217,192.168.1.169,ANOMALY,BLOCKED
2026-08-02 16:25:31.015484,192.168.1.215,ANOMALY,BLOCKED
2026-08-02 16:25:31.198417,192.168.1.174,ANOMALY,BLOCKED
2026-08-02 16:25:31.285154,192.168.1.62,ANOMALY,BLOCKED
2026-08-02 16:25:31.371754,192.168.1.245,ANOMALY,BLOCKED
2026-08-02 16:25:31.577163,192.168.1.238,ANOMALY,BLOCKED
2026-08-02 16:25:31.777166,192.168.1.89,ANOMALY,BLOCKED
2026-08-02 16:25:31.946611,192.168.1.198,ANOMALY,BLOCKED
2026-08-02 16:25:32.049048,192.168.1.96,ANOMALY,BLOCKED
2026-08-02 16:25:32.131484,192.168.1.107,ANOMALY,BLOCKED
2026-08-02 16:25:32.210061,192.168.1.73,ANOMALY,BLOCKED
2026-08-02 16:25:32.285902,192.168.1.234,ANOMALY,BLOCKED
2026-08-02 16:25:32.370449,192.168.1.252,ANOMALY,BLOCKED
2026-08-02 16:25:32.449904,192.168.1.197,ANOMALY,BLOCKED
2026-08-02 16:25:32.524291,192.168.1.134,NORMAL,ALLOWED
2026-08-02 16:25:32.604491,192.168.1.208,ANOMALY,BLOCKED
2026-08-02 16:25:32.684357,192.168.1.83,ANOMALY,BLOCKED
2026-08-02 16:25:32.776301,192.168.1.217,ANOMALY,BLOCKED
2026-08-02 16:25:32.864438,192.168.1.16,ANOMALY,BLOCKED
2026-08-02 16:25:32.947326,192.168.1.192,ANOMALY,BLOCKED
2026-08-02 16:25:33.028537,192.168.1.116,ANOMALY,BLOCKED
2026-08-02 16:25:33.108884,192.168.1.36,ANOMALY,BLOCKED
2026-08-02 16:25:33.183642,192.168.1.30,ANOMALY,BLOCKED
2026-08-02 16:25:33.263803,192.168.1.204,ANOMALY,BLOCKED
2026-08-02 16:25:33.345940,192.168.1.199,ANOMALY,BLOCKED
2026-08-02 16:25:33.421108,192.168.1.193,NORMAL,ALLOWED
2026-08-02 16:25:33.472772,192.168.1.149,ANOMALY,BLOCKED
2026-08-02 16:25:33.558360,192.168.1.223,ANOMALY,BLOCKED
2026-08-02 16:25:33.634855,192.168.1.3,ANOMALY,BLOCKED
2026-08-02 16:25:33.709347,192.168.1.23,ANOMALY,BLOCKED
2026-08-02 16:25:33.779113,192.168.1.95,ANOMALY,BLOCKED
2026-08-02 16:25:33.864440,192.168.1.148,ANOMALY,BLOCKED
2026-08-02 16:25:33.951456,192.168.1.69,ANOMALY,BLOCKED
2026-08-02 16:25:34.094693,192.168.1.11,ANOMALY,BLOCKED
2026-08-02 16:25:34.175003,192.168.1.176,ANOMALY,BLOCKED
2026-08-02 16:25:34.254125,192.168.1.100,ANOMALY,BLOCKED
2026-08-02 16:25:34.330188,192.168.1.176,ANOMALY,BLOCKED
2026-08-02 16:25:34.411587,192.168.1.227,NORMAL,ALLOWED
2026-08-02 16:25:34.485962,192.168.1.113,ANOMALY,BLOCKED
2026-08-02 16:25:34.573024,192.168.1.11,ANOMALY,BLOCKED
2026-08-02 16:25:34.640431,192.168.1.36,ANOMALY,BLOCKED
2026-08-02 16:25:34.712352,192.168.1.113,ANOMALY,BLOCKED
2026-08-02 16:25:34.788089,192.168.1.133,ANOMALY,BLOCKED
2026-08-02 16:25:34.868562,192.168.1.58,ANOMALY,BLOCKED
2026-08-02 16:33:47.644221,192.168.1.223,ANOMALY,BLOCKED
2026-08-02 16:33:47.674420,192.168.1.192,ANOMALY,BLOCKED
2026-08-02 16:33:47.706251,192.168.1.232,ANOMALY,BLOCKED
2026-08-02 16:33:47.738582,192.168.1.201,ANOMALY,BLOCKED
2026-08-02 16:33:47.769724,192.168.1.97,ANOMALY,BLOCKED
2026-08-02 16:33:47.804158,192.168.1.116,ANOMALY,BLOCKED
2026-08-02 16:33:47.835631,192.168.1.217,ANOMALY,BLOCKED
2026-08-02 16:33:47.865934,192.168.1.212,ANOMALY,BLOCKED
2026-08-02 16:33:47.895948,192.168.1.235,ANOMALY,BLOCKED
2026-08-02 16:33:47.928188,192.168.1.94,ANOMALY,BLOCKED
2026-08-02 16:33:47.956966,192.168.1.39,ANOMALY,BLOCKED
2026-08-02 16:33:47.992245,192.168.1.100,ANOMALY,BLOCKED
2026-08-02 16:33:48.023919,192.168.1.166,ANOMALY,BLOCKED
2026-08-02 16:33:48.056878,192.168.1.215,ANOMALY,BLOCKED
2026-08-02 16:33:48.100866,192.168.1.59,ANOMALY,BLOCKED
2026-08-02 16:33:48.136961,192.168.1.106,ANOMALY,BLOCKED
2026-08-02 16:33:48.169639,192.168.1.160,ANOMALY,BLOCKED
2026-08-02 16:33:48.201955,192.168.1.231,ANOMALY,BLOCKED
2026-08-02 16:33:48.232563,192.168.1.146,ANOMALY,BLOCKED
2026-08-02 16:33:48.267069,192.168.1.97,ANOMALY,BLOCKED
2026-08-02 16:33:48.298451,192.168.1.23,ANOMALY,BLOCKED
2026-08-02 16:33:48.330619,192.168.1.150,ANOMALY,BLOCKED
2026-08-02 16:33:48.365009,192.168.1.249,ANOMALY,BLOCKED
2026-08-02 16:33:48.398850,192.168.1.125,ANOMALY,BLOCKED
2026-08-02 16:33:48.429608,192.168.1.56,ANOMALY,BLOCKED
2026-08-02 16:33:48.460103,192.168.1.118,NORMAL,ALLOWED
2026-08-02 16:33:48.494524,192.168.1.230,ANOMALY,BLOCKED
2026-08-02 16:33:48.528541,192.168.1.232,ANOMALY,BLOCKED
2026-08-02 16:33:48.560186,192.168.1.76,ANOMALY,BLOCKED
2026-08-02 16:33:48.593016,192.168.1.88,ANOMALY,BLOCKED
2026-08-02 16:33:48.623726,192.168.1.240,ANOMALY,BLOCKED
2026-08-02 16:33:48.657756,192.168.1.138,ANOMALY,BLOCKED
2026-08-02 16:33:48.691099,192.168.1.192,ANOMALY,BLOCKED
2026-08-02 16:33:48.723341,192.168.1.199,ANOMALY,BLOCKED
2026-08-02 16:33:48.755366,192.168.1.174,ANOMALY,BLOCKED
2026-08-02 16:33:48.788978,192.168.1.202,ANOMALY,BLOCKED
2026-08-02 16:33:48.822998,192.168.1.177,ANOMALY,BLOCKED
2026-08-02 16:33:48.853168,192.168.1.80,ANOMALY,BLOCKED
2026-08-02 16:33:48.884433,192.168.1.221,ANOMALY,BLOCKED
2026-08-02 16:33:48.915809,192.168.1.219,ANOMALY,BLOCKED
2026-08-02 16:33:48.948959,192.168.1.205,ANOMALY,BLOCKED
2026-08-02 16:33:48.982396,192.168.1.134,ANOMALY,BLOCKED
2026-08-02 16:33:49.015171,192.168.1.217,ANOMALY,BLOCKED
2026-08-02 16:33:49.063251,192.168.1.39,ANOMALY,BLOCKED
2026-08-02 16:33:49.101104,192.168.1.116,ANOMALY,BLOCKED
2026-08-02 16:33:49.133186,192.168.1.244,ANOMALY,BLOCKED
2026-08-02 16:33:49.164444,192.168.1.247,ANOMALY,BLOCKED
2026-08-02 16:33:49.196620,192.168.1.34,ANOMALY,BLOCKED
2026-08-02 16:33:49.228102,192.168.1.81,ANOMALY,BLOCKED
2026-08-02 16:33:49.260666,192.168.1.154,ANOMALY,BLOCKED
2026-08-02 16:33:49.294334,192.168.1.193,ANOMALY,BLOCKED
2026-08-02 16:33:49.332245,192.168.1.93,ANOMALY,BLOCKED
2026-08-02 16:33:49.369210,192.168.1.253,ANOMALY,BLOCKED
2026-08-02 16:33:49.411461,192.168.1.207,ANOMALY,BLOCKED
2026-08-02 16:33:49.447555,192.168.1.162,ANOMALY,BLOCKED
2026-08-02 16:33:49.482034,192.168.1.234,ANOMALY,BLOCKED
2026-08-02 16:33:49.521437,192.168.1.185,ANOMALY,BLOCKED
2026-08-02 16:33:49.557929,192.168.1.230,ANOMALY,BLOCKED
2026-08-02 16:33:49.590457,192.168.1.5,ANOMALY,BLOCKED
2026-08-02 16:33:49.629718,192.168.1.75,ANOMALY,BLOCKED
2026-08-02 16:33:49.676395,192.168.1.91,ANOMALY,BLOCKED
2026-08-02 16:33:49.725068,192.168.1.72,ANOMALY,BLOCKED
2026-08-02 16:33:49.771688,192.168.1.11,ANOMALY,BLOCKED
2026-08-02 16:33:49.818077,192.168.1.66,ANOMALY,BLOCKED
2026-08-02 16:33:49.863666,192.168.1.166,ANOMALY,BLOCKED
2026-08-02 16:33:49.913985,192.168.1.185,ANOMALY,BLOCKED
2026-08-02 16:33:49.951839,192.168.1.201,ANOMALY,BLOCKED
